gvkey,fs_month
2901,A-Jun
2902,A-Jul
2903,A-Mar
2904,A-Dec
2905,A-Mar
2906,A-Apr
2917,A-Dec
2918,A-Dec
2919,A-Dec
2920,A-Dec
2921,A-Dec
2924,A-Dec
2927,A-Dec
2928,A-Jun
2931,A-Aug
2933,A-Dec
2934,A-Oct
2935,A-Jun
2936,A-Oct
2938,A-Jan
2939,A-Dec
2941,A-Dec
2942,A-Jul
2943,A-Dec
2944,A-Dec
2946,A-Dec
2947,A-Jun
2948,A-Dec
2952,A-Dec
2953,A-Dec
2955,A-Jan
2956,A-Sep
2957,A-Oct
2959,A-Sep
2960,A-Dec
2962,A-Aug
2963,A-Dec
2964,A-Dec
2965,A-Jun
2966,A-Dec
2967,A-Dec
2968,A-Dec
2970,A-Jul
2971,A-Aug
2972,A-Sep
2975,A-Feb
2977,A-Dec
2978,A-Dec
2979,A-Dec
2980,A-Dec
2981,A-Dec
2982,A-Dec
2983,A-Jun
2986,A-Dec
2987,A-Dec
2988,A-Jun
2989,A-Dec
2991,A-Dec
2992,A-Dec
2993,A-Apr
2994,A-Dec
2995,A-Dec
2997,A-Dec
2998,A-Dec
2999,A-Dec
3001,A-Jun
3002,A-Dec
3003,A-Dec
3004,A-Jan
3006,A-Jul
3007,A-Jun
3008,A-Dec
3009,A-Mar
3010,A-Dec
3012,A-Mar
3013,A-Jul
3014,A-Dec
3016,A-Jun
3017,A-Dec
3022,A-Dec
3023,A-Dec
3024,A-Dec
3026,A-Dec
3027,A-Mar
3029,A-Aug
3030,A-Dec
3032,A-Dec
3033,A-Dec
3034,A-Jun
3036,A-Dec
3039,A-Dec
3040,A-Dec
3041,A-Dec
3042,A-Sep
3044,A-Dec
3045,A-Sep
3046,A-Dec
3047,A-Jun
3048,A-Sep
3049,A-Jun
3050,A-Sep
3051,A-Apr
3052,A-May
3053,A-Dec
3057,A-Dec
3058,A-Dec
3060,A-Dec
3062,A-May
3063,A-Jan
3065,A-Dec
3066,A-Dec
3067,A-Dec
3068,A-Mar
3069,A-Dec
3070,A-Dec
3071,A-Dec
3072,A-Jun
3073,A-Dec
3074,A-Dec
3075,A-Dec
3076,A-Jan
3077,A-Dec
3078,A-Dec
3079,A-Jul
3080,A-Mar
3081,A-Dec
3082,A-Dec
3083,A-Dec
3084,A-Jan
3087,A-Jan
3090,A-Jan
3091,A-Dec
3092,A-Dec
3093,A-Nov
3094,A-Dec
3096,A-Dec
3097,A-Apr
3098,A-Dec
3099,A-Dec
3100,A-Jun
3101,A-Jun
3102,A-Dec
3103,A-Jun
3104,A-Dec
3105,A-Dec
3106,A-Apr
3107,A-Dec
3108,A-Dec
3109,A-Oct
3110,A-Dec
3111,A-Sep
3114,A-Dec
3115,A-Jun
3116,A-Mar
3120,A-Dec
3121,A-Jun
3122,A-Jan
3123,A-Dec
3124,A-Oct
3125,A-Dec
3126,A-Dec
3127,A-Mar
3128,A-Dec
3129,A-Dec
3130,A-Dec
3131,A-Sep
3132,A-Nov
3133,A-Feb
3134,A-Jun
3135,A-Dec
3138,A-Dec
3139,A-Dec
3140,A-Dec
3142,A-Dec
3144,A-Dec
3146,A-May
3147,A-Mar
3148,A-Dec
3150,A-Dec
3152,A-May
3153,A-Dec
3154,A-Mar
3155,A-Jan
3156,A-Dec
3157,A-Sep
3158,A-Dec
3162,A-Jun
3165,A-Dec
3167,A-Dec
3168,A-Jun
3170,A-Dec
3172,A-Jun
3173,A-Dec
3176,A-Feb
3177,A-Apr
3178,A-Oct
3179,A-Nov
3184,A-Dec
3185,A-Dec
3186,A-Dec
3187,A-Jun
3188,A-Dec
3189,A-Dec
3190,A-Dec
3191,A-Jun
3196,A-Feb
3197,A-Aug
3198,A-Dec
3199,A-Dec
3200,A-Dec
3203,A-Aug
3205,A-Dec
3206,A-Dec
3207,A-Aug
3210,A-Dec
3211,A-Dec
3213,A-Sep
3214,A-Jun
3215,A-Aug
3216,A-Mar
3217,A-Mar
3219,A-Dec
3221,A-Dec
3223,A-Mar
3224,A-Dec
3225,A-Jan
3226,A-Dec
3227,A-Jan
3228,A-Dec
3229,A-Dec
3230,A-Sep
3231,A-Dec
3233,A-Mar
3234,A-Dec
3235,A-Dec
3236,A-Dec
3237,A-May
3238,A-Dec
3239,A-Dec
3240,A-Mar
3241,A-Dec
3242,A-Jul
3243,A-Dec
3244,A-Sep
3245,A-May
3246,A-Aug
3248,A-Oct
3249,A-Dec
3252,A-Jun
3253,A-Jun
3254,A-Mar
3255,A-Dec
3256,A-Dec
3257,A-Dec
3258,A-Aug
3259,A-Dec
3262,A-Dec
3263,A-Dec
3264,A-Nov
3265,A-Dec
3266,A-Sep
3267,A-Sep
3268,A-Oct
3269,A-Jun
3271,A-Dec
3273,A-Dec
3275,A-Dec
3276,A-Nov
3277,A-Mar
